created_at,text
Wed Jun 17 10:35:38 +0000 2020,RT @DimpalT99397247: @deepikapadukone JNU ki chmchi...yha ab gyan mt de tere se Jada hi pta h sbko..filme to Chahiye hogi na tabi yhi bkvas…
Wed Jun 17 10:35:26 +0000 2020,"RT @Santosh_9725: See the difference between 

Real talent vs nepotism

#boycottkaranjohar
#boycottYRF #JusticeForSushantSinghRajput https:…"
